t,a,b,rho,m,sigma,ATM_IV,viol,a_ema,b_ema,rho_ema,m_ema,sigma_ema,rho_clipped
1,0.011538655847643698,0.0927956324823065,0.1529613728552032,0.14885429991701665,0.11578714124066683,0.21866996347873813,0,0.005880588773549006,0.08490612789443992,-0.28129032896218753,0.06947128445454522,0.2167414109913005,1
2,0.010652987931533773,0.07972022296808208,-0.16697781163566255,0.07695811288761732,0.1540540548316531,0.21943300907599766,0,0.00683506860514596,0.08386894690916835,-0.2712903289621875,0.07096865014115963,0.20420393975937104,2
3,0.010748699249503097,0.07368176463386217,-0.22107475445559086,0.08678188361070716,0.17889830923189476,0.22133493419113232,0,0.0076177947340173875,0.08183151045410711,-0.2612903289621875,0.07413129683506914,0.1991428136538758,3
4,0.017743552536932137,0.05731242760871336,-0.3680180602340278,0.07349615550162784,0.10215238488304643,0.2204612514540555,0,0.009642946294600338,0.07692769388502836,-0.2712903289621875,0.07400426856838088,0.17974472789970994,4
5,0.008444370984405387,0.08347317308465005,-0.21908144585993583,0.05032216684211603,0.18104876895983107,0.21901190936767334,0,0.009403231232561348,0.0782367897249527,-0.2612903289621875,0.06926784822312791,0.18000553611173417,5
6,0.006459815655552489,0.09121012820147123,-0.10723501259962666,0.07396838510048531,0.1821288514533911,0.22217407027725422,0,0.008814548117159577,0.08083145742025641,-0.2512903289621875,0.0702079555985994,0.18043019918006556,6
7,0.007731579689214338,0.0770549603955566,-0.09746414945834157,0.11288250279570587,0.20754506739710987,0.21793761876174716,0,0.008597954431570529,0.08007615801531645,-0.24129032896218752,0.07874286503802069,0.18585317282347444,7
8,0.002259966000983371,0.09725080608697971,0.18188969094436863,0.20635761599147892,0.21593530280571022,0.21728537533830475,0,0.007330356745453097,0.08351108762964911,-0.23129032896218754,0.10426581522871234,0.1918695988199216,8
9,0.010566533330737158,0.07777272091022865,0.0119036997942099,0.14419678777350783,0.15439889290467937,0.2182299768845304,0,0.007977592062509909,0.08236341428576502,-0.22129032896218756,0.11225200973767145,0.18437545763687319,9
10,0.005733798892044924,0.08877005313572628,-0.1488646574589463,0.09169382496834272,0.19685157682126067,0.22142956035003603,0,0.007528833428416913,0.08364474205575727,-0.21129032896218758,0.10814037278380571,0.1868706814737507,10
11,0.011643747252585645,0.0693248905863116,-0.15299876993730419,0.10055949976724501,0.1766560054202697,0.2236393472116976,0,0.00835181619325066,0.08078077176186814,-0.20129032896218757,0.10662419818049358,0.18482774626305448,11
